Campaign_ID,Campaign_Name,Campaign_Type,Campaign_Objective,Product_ID,Marketing_Channel,Industry,Target_Audience,Funnel_Stage,Creative_Type,Device_Target,Region_Target,Bid_Strategy,Budget,Budget_Category,Campaign_Duration,Start_Date,End_Date,Campaign_Status,AI_Campaign_Score,Success_Probability,Risk_Level,Priority,Expected_ROI,Estimated_Revenue,Expected_Conversions,Target_CPA,Target_ROAS,Audience_Size,Optimization_Score,Impressions,CTR,Clicks,Conversion_Rate,Conversions,CPC,CPM,Spend,Revenue
16,CMP_0016_Generate_Leads,Brand Awareness,Generate Leads,174,Instagram Ads,Fashion,Business Owners,TOFU,Video,All Devices,East,Maximize Clicks,1413121,Enterprise,56,2026-07-24,2026-09-18,Planned,87,92,Low,Medium,124.87,3177685,156,9058.47,2.25,2984028,82,3711854,6.75,250550,16.94,42443,5.64,380.7,1413121,3177685
17,CMP_0017_Customer_Retention,Retargeting,Customer Retention,281,Google Search Ads,Education,Students,BOFU,Image,Tablet,North,Maximize Clicks,685697,Large,70,2026-08-13,2026-10-22,Planned,80,75,Medium,Medium,87.28,1284173,1741,393.85,1.87,4375625,87,3884896,5.2,202014,9.56,19312,3.39,176.5,685697,1284173
18,CMP_0018_Increase_Brand_Awareness,Product Launch,Increase Brand Awareness,148,LinkedIn Ads,Food Delivery,Freelancers,TOFU,Carousel,Tablet,Central,Maximize Clicks,102448,Medium,101,2026-03-08,2026-06-17,Completed,60,68,High,Low,53.05,156796,1238,82.75,1.53,2050705,77,4270570,9.8,418515,3.02,12639,0.24,23.99,102448,156796
19,CMP_0019_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,279,Email Marketing,Healthcare,Freelancers,TOFU,Reels,Mobile,West,CPA,698376,Large,62,2026-02-08,2026-04-11,Completed,93,99,Low,High,96.01,1368886,1322,528.27,1.96,58862,71,1348679,11.39,153614,8.41,12918,4.55,517.82,698376,1368886
20,CMP_0020_Increase_Sales,Sales,Increase Sales,250,Email Marketing,Technology,Students,TOFU,Carousel,All Devices,East,Target ROAS,1436914,Enterprise,34,2026-06-14,2026-07-18,Running,100,99,Low,High,81.54,2608573,3319,432.94,1.82,774807,68,1229980,8.83,108607,8.8,9557,13.23,1168.24,1436914,2608573
21,CMP_0021_Customer_Retention,Retargeting,Customer Retention,279,Facebook Ads,Healthcare,Business Owners,BOFU,Story,Desktop,East,CPA,1208752,Enterprise,38,2026-07-27,2026-09-03,Paused,85,77,Low,Medium,85.24,2239092,3822,316.26,1.85,567382,98,1120474,9.87,110590,11.9,13160,10.93,1078.79,1208752,2239092
22,CMP_0022_Increase_Sales,Product Launch,Increase Sales,85,Instagram Ads,Food Delivery,Freelancers,TOFU,Video,Tablet,East,Target ROAS,797982,Large,43,2026-08-01,2026-09-13,Paused,91,91,Low,High,99.54,1592293,132,6045.32,2.0,820664,60,4897190,6.79,332519,5.42,18022,2.4,162.95,797982,1592293
23,CMP_0023_App_Installs,Product Launch,App Installs,264,Google Display Ads,Travel,Freelancers,TOFU,Carousel,All Devices,East,CPA,172985,Medium,15,2026-06-17,2026-07-02,Running,88,94,Low,Medium,124.89,389025,4303,40.2,2.25,533796,62,987901,3.38,33391,11.08,3699,5.18,175.1,172985,389025
24,CMP_0024_Increase_Brand_Awareness,Brand Awareness,Increase Brand Awareness,2,Google Display Ads,Travel,Students,TOFU,Image,Tablet,East,CPC,66769,Small,48,2026-04-05,2026-05-23,Completed,55,58,High,Low,61.59,107892,2464,27.1,1.62,4334207,100,4472264,10.33,461984,1.62,7484,0.14,14.93,66769,107892
25,CMP_0025_Generate_Leads,Sales,Generate Leads,127,Instagram Ads,Finance,Freelancers,TOFU,Image,Tablet,Central,CPM,921936,Large,30,2026-06-19,2026-07-19,Running,85,88,Low,Medium,97.21,1818149,4003,230.31,1.97,1055814,86,4883031,6.2,302747,4.03,12200,3.05,188.8,921936,1818149
26,CMP_0026_Increase_Sales,App Promotion,Increase Sales,122,LinkedIn Ads,Travel,Freelancers,TOFU,Carousel,All Devices,North,CPM,145834,Medium,112,2026-07-29,2026-11-18,Paused,77,72,Medium,Medium,109.1,304938,684,213.21,2.09,3099059,94,2318107,1.58,36626,11.41,4179,3.98,62.91,145834,304938
27,CMP_0027_App_Installs,Sales,App Installs,285,Facebook Ads,Technology,Students,TOFU,Story,Desktop,West,Maximize Clicks,1399454,Enterprise,67,2026-08-07,2026-10-13,Paused,95,92,Low,High,108.9,2923459,3812,367.12,2.09,2720810,82,1339637,6.48,86808,11.22,9739,16.12,1044.65,1399454,2923459
28,CMP_0028_App_Installs,Lead Generation,App Installs,235,Email Marketing,Fashion,Working Professionals,MOFU,Reels,All Devices,South,CPM,811810,Large,57,2026-07-19,2026-09-14,Planned,90,88,Low,High,131.63,1880395,430,1887.93,2.32,2474721,98,907977,1.02,9261,15.54,1439,87.66,894.09,811810,1880395
29,CMP_0029_Generate_Leads,Retargeting,Generate Leads,287,Google Search Ads,Food Delivery,Freelancers,BOFU,Carousel,Desktop,South,CPM,477206,Medium,108,2026-06-01,2026-09-17,Running,69,61,High,Low,102.32,965483,4323,110.39,2.02,1257146,72,4148448,4.17,172990,14.9,25775,2.76,115.03,477206,965483
30,CMP_0030_Increase_Sales,Retargeting,Increase Sales,12,YouTube Ads,Travel,Students,BOFU,Carousel,Mobile,South,CPM,1126639,Enterprise,39,2026-06-22,2026-07-31,Running,96,99,Low,High,80.42,2032682,3827,294.39,1.8,4088356,76,3933904,3.49,137293,10.6,14553,8.21,286.39,1126639,2032682
31,CMP_0031_Increase_Sales,Brand Awareness,Increase Sales,115,YouTube Ads,Healthcare,Senior Citizens,TOFU,Carousel,Desktop,North,Maximize Clicks,677383,Large,28,2026-07-25,2026-08-22,Planned,85,90,Low,Medium,82.79,1238188,4939,137.15,1.83,4753362,61,2152607,8.04,173069,16.23,28089,3.91,314.68,677383,1238188
32,CMP_0032_Customer_Retention,Retargeting,Customer Retention,158,Google Display Ads,Education,Families,BOFU,Story,All Devices,Central,Target ROAS,681004,Large,53,2026-07-28,2026-09-19,Planned,81,75,Medium,Medium,89.59,1291115,4196,162.3,1.9,1005822,94,2816288,9.03,254310,9.01,22913,2.68,241.81,681004,1291115
33,CMP_0033_Increase_Sales,Lead Generation,Increase Sales,249,Affiliate Marketing,E-Commerce,Working Professionals,MOFU,Story,All Devices,East,CPA,800359,Large,100,2026-05-24,2026-09-01,Running,78,70,Medium,Medium,84.28,1474901,2376,336.85,1.84,3407140,89,2471656,1.0,24716,6.94,1715,32.38,323.81,800359,1474901
34,CMP_0034_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,164,Google Search Ads,Education,Business Owners,BOFU,Reels,Mobile,Central,Target ROAS,591632,Large,83,2026-07-04,2026-09-25,Planned,84,91,Medium,Medium,94.97,1153504,2972,199.07,1.95,4092931,81,4223081,4.78,201863,9.98,20145,2.93,140.09,591632,1153504
35,CMP_0035_Customer_Retention,App Promotion,Customer Retention,88,Instagram Ads,Fashion,Senior Citizens,TOFU,Carousel,Tablet,West,CPC,294763,Medium,76,2026-07-21,2026-10-05,Paused,76,72,Medium,Medium,71.1,504339,4670,63.12,1.71,992584,69,1249884,6.98,87241,8.43,7354,3.38,235.83,294763,504339
36,CMP_0036_Increase_Brand_Awareness,Lead Generation,Increase Brand Awareness,116,Google Display Ads,Food Delivery,Business Owners,MOFU,Video,Desktop,South,CPM,1327347,Enterprise,111,2026-08-08,2026-11-27,Planned,100,94,Low,High,80.32,2393472,1732,766.37,1.8,710894,60,820191,6.25,51261,16.05,8227,25.89,1618.34,1327347,2393472
37,CMP_0037_Customer_Retention,Sales,Customer Retention,270,Affiliate Marketing,E-Commerce,Senior Citizens,TOFU,Reels,Tablet,South,CPM,778838,Large,96,2026-01-11,2026-04-17,Completed,83,75,Medium,Medium,89.9,1479013,4677,166.53,1.9,1868089,77,4932712,9.72,479459,10.78,51685,1.62,157.89,778838,1479013
38,CMP_0038_Website_Traffic,Brand Awareness,Website Traffic,268,Instagram Ads,Healthcare,Freelancers,TOFU,Reels,Desktop,Central,CPA,1350118,Enterprise,24,2026-06-09,2026-07-03,Running,96,97,Low,High,122.13,2999017,3682,366.68,2.22,787113,78,4919218,1.49,73296,2.26,1656,18.42,274.46,1350118,2999017
39,CMP_0039_Website_Traffic,Brand Awareness,Website Traffic,260,LinkedIn Ads,Travel,Freelancers,TOFU,Reels,All Devices,East,CPM,279493,Medium,41,2026-08-21,2026-10-01,Planned,74,79,Medium,Medium,77.71,496687,4447,62.85,1.78,3820160,91,4907902,8.25,404901,3.84,15548,0.69,56.95,279493,496687
40,CMP_0040_Generate_Leads,Sales,Generate Leads,203,Instagram Ads,E-Commerce,Business Owners,TOFU,Reels,Mobile,West,CPA,73309,Small,109,2026-02-06,2026-05-26,Completed,58,53,High,Low,78.56,130900,394,186.06,1.79,1456780,88,932632,1.53,14269,11.56,1649,5.14,78.6,73309,130900
41,CMP_0041_Increase_Sales,Lead Generation,Increase Sales,198,Google Display Ads,Finance,Students,MOFU,Video,All Devices,South,CPM,930546,Large,39,2026-08-03,2026-09-11,Planned,83,84,Medium,Medium,97.38,1836711,952,977.46,1.97,1564441,64,697084,9.5,66222,3.13,2072,14.05,1334.91,930546,1836711
42,CMP_0042_Website_Traffic,App Promotion,Website Traffic,33,Affiliate Marketing,Healthcare,Freelancers,TOFU,Carousel,Mobile,North,CPC,1290455,Enterprise,30,2026-08-19,2026-09-18,Planned,95,99,Low,High,106.91,2670080,2673,482.77,2.07,4946259,80,2292119,7.33,168012,16.14,27117,7.68,563.0,1290455,2670080
43,CMP_0043_Customer_Retention,App Promotion,Customer Retention,155,Affiliate Marketing,Fashion,Families,TOFU,Carousel,Mobile,South,CPC,1255902,Enterprise,60,2026-02-15,2026-04-16,Completed,90,95,Low,High,99.77,2508915,3080,407.76,2.0,574831,61,2439395,5.1,124409,5.28,6568,10.09,514.84,1255902,2508915
44,CMP_0044_Increase_Sales,Sales,Increase Sales,88,Affiliate Marketing,Technology,Business Owners,TOFU,Story,Mobile,South,CPM,569902,Large,113,2026-06-04,2026-09-25,Running,86,93,Low,Medium,91.82,1093186,1826,312.1,1.92,1400097,87,3172225,0.97,30770,3.3,1015,18.52,179.65,569902,1093186
45,CMP_0045_App_Installs,Product Launch,App Installs,295,Affiliate Marketing,Education,Freelancers,TOFU,Video,All Devices,West,Target ROAS,1021385,Enterprise,73,2026-08-08,2026-10-20,Paused,88,91,Low,Medium,99.28,2035416,2437,419.12,1.99,4804333,92,1313996,5.97,78445,15.76,12362,13.02,777.31,1021385,2035416
46,CMP_0046_Website_Traffic,Sales,Website Traffic,120,Email Marketing,Healthcare,Families,TOFU,Video,All Devices,Central,CPA,561852,Large,102,2026-06-13,2026-09-23,Running,86,81,Low,Medium,119.25,1231860,958,586.48,2.19,816132,61,85526,1.33,1137,2.78,31,494.15,6569.37,561852,1231860
47,CMP_0047_Customer_Retention,Brand Awareness,Customer Retention,142,YouTube Ads,Travel,Senior Citizens,TOFU,Story,Desktop,North,CPA,214216,Medium,21,2026-06-21,2026-07-12,Running,70,73,Medium,Medium,86.67,399877,2920,73.36,1.87,4542124,81,796266,2.85,22693,12.39,2811,9.44,269.03,214216,399877
48,CMP_0048_Increase_Brand_Awareness,Sales,Increase Brand Awareness,125,Facebook Ads,E-Commerce,Senior Citizens,TOFU,Video,Desktop,North,CPC,81395,Small,18,2026-08-07,2026-08-25,Paused,75,73,Medium,Medium,71.53,139616,1693,48.08,1.72,3352113,67,3218692,8.65,278416,2.07,5763,0.29,25.29,81395,139616
49,CMP_0049_App_Installs,App Promotion,App Installs,86,Google Search Ads,Healthcare,Working Professionals,TOFU,Image,Tablet,Central,CPC,954245,Large,69,2026-07-30,2026-10-07,Planned,80,76,Medium,Medium,111.23,2015651,3097,308.12,2.11,4750771,100,1091566,2.71,29581,16.93,5008,32.26,874.2,954245,2015651
50,CMP_0050_Increase_Sales,Retargeting,Increase Sales,55,Google Display Ads,Travel,Freelancers,BOFU,Image,Desktop,East,Maximize Clicks,203921,Medium,81,2026-06-02,2026-08-22,Running,89,81,Low,Medium,82.03,371197,3570,57.12,1.82,2279349,62,1389508,8.18,113661,7.45,8467,1.79,146.76,203921,371197
51,CMP_0051_App_Installs,Product Launch,App Installs,181,Email Marketing,Healthcare,Students,TOFU,Image,Desktop,East,CPM,283785,Medium,57,2026-07-20,2026-09-15,Planned,79,81,Medium,Medium,68.61,478489,1724,164.61,1.69,2867112,93,4452103,6.87,305859,14.66,44838,0.93,63.74,283785,478489
52,CMP_0052_Increase_Sales,Lead Generation,Increase Sales,264,LinkedIn Ads,Education,Working Professionals,MOFU,Story,All Devices,South,Target ROAS,503421,Large,112,2026-08-09,2026-11-29,Paused,93,87,Low,High,115.02,1082455,2078,242.26,2.15,4228719,100,2343858,1.42,33282,16.15,5375,15.13,214.78,503421,1082455
53,CMP_0053_Customer_Retention,App Promotion,Customer Retention,80,Instagram Ads,Finance,Business Owners,TOFU,Image,Mobile,South,CPC,1258498,Enterprise,62,2026-06-13,2026-08-14,Running,88,87,Low,Medium,111.9,2666757,3792,331.88,2.12,1590065,85,3415860,7.54,257555,8.12,20913,4.89,368.43,1258498,2666757
54,CMP_0054_App_Installs,Product Launch,App Installs,275,LinkedIn Ads,Finance,Working Professionals,TOFU,Story,All Devices,South,Target ROAS,1061601,Enterprise,18,2026-06-19,2026-07-07,Running,95,99,Low,High,89.62,2013007,2341,453.48,1.9,3167207,77,3442382,8.19,281931,13.81,38934,3.77,308.39,1061601,2013007
55,CMP_0055_Customer_Retention,Product Launch,Customer Retention,202,LinkedIn Ads,Education,Families,TOFU,Image,Desktop,North,Target ROAS,1308375,Enterprise,27,2026-07-10,2026-08-06,Paused,87,83,Low,Medium,74.2,2279189,1984,659.46,1.74,1549813,75,4489763,8.18,367262,17.93,65850,3.56,291.41,1308375,2279189
56,CMP_0056_Generate_Leads,Sales,Generate Leads,168,Google Display Ads,Healthcare,Working Professionals,TOFU,Reels,Mobile,Central,CPC,1218532,Enterprise,79,2026-02-07,2026-04-27,Completed,100,99,Low,High,123.79,2726952,4384,277.95,2.24,125504,71,4888356,3.31,161804,12.68,20516,7.53,249.27,1218532,2726952
57,CMP_0057_Website_Traffic,Sales,Website Traffic,27,YouTube Ads,Technology,Families,TOFU,Reels,Mobile,Central,Target ROAS,464373,Medium,111,2026-08-19,2026-12-08,Planned,77,74,Medium,Medium,87.72,871720,3164,146.77,1.88,4077689,96,1462852,10.02,146577,14.73,21590,3.17,317.44,464373,871720
58,CMP_0058_App_Installs,App Promotion,App Installs,168,Email Marketing,Education,Working Professionals,TOFU,Story,Desktop,West,CPM,337937,Medium,79,2026-07-18,2026-10-05,Planned,75,76,Medium,Medium,96.42,663775,3754,90.02,1.96,3085731,81,4736622,7.89,373719,2.81,10501,0.9,71.35,337937,663775
59,CMP_0059_Website_Traffic,Brand Awareness,Website Traffic,277,Instagram Ads,Travel,Students,TOFU,Reels,Mobile,South,Target ROAS,1360747,Enterprise,22,2026-07-27,2026-08-18,Planned,91,87,Low,High,101.88,2747076,2274,598.39,2.02,1965549,69,1741771,3.56,62007,14.53,9009,21.95,781.24,1360747,2747076
60,CMP_0060_App_Installs,Lead Generation,App Installs,57,LinkedIn Ads,Travel,Freelancers,MOFU,Video,Desktop,North,Target ROAS,1327089,Enterprise,73,2026-02-21,2026-05-05,Completed,93,90,Low,High,135.09,3119853,4764,278.57,2.35,4970455,85,1437503,10.01,143894,9.19,13223,9.22,923.19,1327089,3119853
61,CMP_0061_App_Installs,Sales,App Installs,114,Instagram Ads,E-Commerce,Students,TOFU,Carousel,Tablet,South,CPM,329582,Medium,20,2026-08-22,2026-09-11,Planned,72,75,Medium,Medium,71.41,564936,2917,112.99,1.71,2795187,96,4358320,3.99,173896,4.14,7199,1.9,75.62,329582,564936
62,CMP_0062_Website_Traffic,Brand Awareness,Website Traffic,10,YouTube Ads,Healthcare,Business Owners,TOFU,Carousel,Mobile,North,Target ROAS,943261,Large,94,2026-08-11,2026-11-13,Paused,80,76,Medium,Medium,88.4,1777103,2284,412.99,1.88,518690,74,1069347,4.65,49724,8.88,4415,18.97,882.09,943261,1777103
63,CMP_0063_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,227,LinkedIn Ads,Technology,Senior Citizens,BOFU,Carousel,Tablet,East,Maximize Clicks,184156,Medium,117,2026-07-26,2026-11-20,Planned,87,89,Low,Medium,94.67,358496,1446,127.36,1.95,1410526,72,1363781,7.73,105420,11.99,12639,1.75,135.03,184156,358496
64,CMP_0064_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,47,LinkedIn Ads,Food Delivery,Freelancers,TOFU,Carousel,All Devices,North,CPA,937824,Large,100,2026-02-15,2026-05-26,Completed,77,83,Medium,Medium,109.63,1965960,3916,239.49,2.1,4139626,78,1808694,3.49,63123,10.76,6792,14.86,518.51,937824,1965960
65,CMP_0065_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,293,Google Display Ads,Food Delivery,Freelancers,TOFU,Video,All Devices,North,CPC,1401275,Enterprise,22,2026-08-20,2026-09-11,Paused,98,98,Low,High,123.95,3138155,4083,343.2,2.24,563209,67,3201411,8.59,275001,2.93,8057,5.1,437.71,1401275,3138155
66,CMP_0066_Increase_Sales,App Promotion,Increase Sales,234,Email Marketing,Education,Families,TOFU,Story,Mobile,North,Maximize Clicks,1065746,Enterprise,54,2026-03-10,2026-05-03,Completed,97,99,Low,High,143.39,2593919,2288,465.8,2.43,4367707,62,3400143,4.28,145526,12.99,18903,7.32,313.44,1065746,2593919
67,CMP_0067_Increase_Sales,Retargeting,Increase Sales,263,LinkedIn Ads,Healthcare,Working Professionals,BOFU,Story,Desktop,Central,Target ROAS,696431,Large,76,2026-04-30,2026-07-15,Running,80,80,Medium,Medium,119.69,1529989,362,1923.84,2.2,607108,66,3764590,0.85,31999,13.66,4371,21.76,185.0,696431,1529989
68,CMP_0068_App_Installs,Retargeting,App Installs,162,LinkedIn Ads,Travel,Business Owners,BOFU,Story,Mobile,South,Target ROAS,72810,Small,106,2026-06-19,2026-10-03,Running,47,51,High,Low,57.23,114479,2777,26.22,1.57,1785856,61,2644378,3.19,84355,15.88,13395,0.86,27.53,72810,114479
69,CMP_0069_Generate_Leads,Lead Generation,Generate Leads,7,Affiliate Marketing,Finance,Senior Citizens,MOFU,Reels,All Devices,Central,CPC,570453,Large,15,2026-05-02,2026-05-17,Completed,91,88,Low,High,81.36,1034573,526,1084.51,1.81,1881683,71,4665292,7.91,369024,7.59,28008,1.55,122.28,570453,1034573
70,CMP_0070_Increase_Brand_Awareness,Lead Generation,Increase Brand Awareness,109,Instagram Ads,Technology,Families,MOFU,Video,All Devices,East,CPC,303868,Medium,107,2026-08-06,2026-11-21,Paused,78,78,Medium,Medium,99.83,607219,3643,83.41,2.0,4218453,83,4468692,11.57,517027,5.06,26161,0.59,68.0,303868,607219
71,CMP_0071_Increase_Brand_Awareness,Brand Awareness,Increase Brand Awareness,195,Facebook Ads,Food Delivery,Business Owners,TOFU,Reels,Tablet,South,CPM,745920,Large,20,2026-08-22,2026-09-11,Planned,89,90,Low,Medium,92.65,1437014,2740,272.23,1.93,2149018,89,88684,2.78,2465,5.35,131,302.6,8410.99,745920,1437014
72,CMP_0072_Generate_Leads,Product Launch,Generate Leads,33,Google Display Ads,Finance,Working Professionals,TOFU,Reels,Tablet,South,Target ROAS,1467901,Enterprise,39,2026-06-08,2026-07-17,Running,90,94,Low,High,127.16,3334483,3676,399.32,2.27,1433805,93,1866935,2.88,53767,2.69,1446,27.3,786.26,1467901,3334483
73,CMP_0073_Increase_Sales,Lead Generation,Increase Sales,33,Facebook Ads,E-Commerce,Families,MOFU,Story,Tablet,West,Maximize Clicks,868786,Large,49,2026-05-30,2026-07-18,Running,87,84,Low,Medium,123.55,1942171,4305,201.81,2.24,2571997,65,515201,1.38,7109,5.81,413,122.21,1686.3,868786,1942171
74,CMP_0074_App_Installs,Retargeting,App Installs,43,Google Search Ads,Food Delivery,Families,BOFU,Video,Mobile,South,CPC,240756,Medium,23,2026-05-31,2026-06-23,Completed,78,73,Medium,Medium,79.21,431458,4964,48.5,1.79,2066179,76,4928430,2.91,143417,13.83,19834,1.68,48.85,240756,431458
75,CMP_0075_Increase_Sales,Sales,Increase Sales,24,YouTube Ads,Travel,Families,TOFU,Reels,Tablet,Central,CPC,276831,Medium,49,2026-05-20,2026-07-08,Running,83,90,Medium,Medium,100.46,554935,5000,55.37,2.0,2223704,60,1450207,4.36,63229,9.95,6291,4.38,190.89,276831,554935
76,CMP_0076_App_Installs,Retargeting,App Installs,30,LinkedIn Ads,Technology,Families,BOFU,Video,Desktop,South,CPA,870057,Large,86,2026-04-30,2026-07-25,Running,80,73,Medium,Medium,101.1,1749684,1408,617.94,2.01,1172415,71,2802659,2.25,63059,16.41,10347,13.8,310.44,870057,1749684
77,CMP_0077_App_Installs,Retargeting,App Installs,265,LinkedIn Ads,Technology,Working Professionals,BOFU,Carousel,Desktop,West,CPA,1461077,Enterprise,53,2026-03-10,2026-05-02,Completed,95,99,Low,High,108.33,3043861,2099,696.08,2.08,2376652,76,120443,3.37,4058,9.6,389,360.05,12130.86,1461077,3043861
78,CMP_0078_Increase_Brand_Awareness,Sales,Increase Brand Awareness,215,Google Search Ads,Food Delivery,Senior Citizens,TOFU,Carousel,Tablet,West,Target ROAS,1042242,Enterprise,113,2026-07-23,2026-11-13,Planned,95,97,Low,High,123.94,2333996,3517,296.34,2.24,291929,77,1566179,8.38,131245,12.57,16497,7.94,665.47,1042242,2333996
79,CMP_0079_Increase_Brand_Awareness,Lead Generation,Increase Brand Awareness,288,Email Marketing,Healthcare,Families,MOFU,Image,Mobile,South,CPC,1364099,Enterprise,37,2026-07-18,2026-08-24,Planned,88,81,Low,Medium,105.3,2800495,4546,300.07,2.05,395225,91,1033923,7.11,73511,17.47,12842,18.56,1319.34,1364099,2800495
