Campaign_ID,Campaign_Name,Campaign_Type,Campaign_Objective,Product_ID,Marketing_Channel,Industry,Target_Audience,Funnel_Stage,Creative_Type,Device_Target,Region_Target,Bid_Strategy,Budget,Budget_Category,Campaign_Duration,Start_Date,End_Date,Campaign_Status,AI_Campaign_Score,Success_Probability,Risk_Level,Priority,Expected_ROI,Estimated_Revenue,Expected_Conversions,Target_CPA,Target_ROAS,Audience_Size,Optimization_Score,Impressions,Clicks,Conversions,CTR,Conversion_Rate,Spend,Revenue,CPC,CPM,ROAS,ROI,Engagement_Rate,Bounce_Rate,Avg_Session_Duration,Campaign_Success
21,CMP_0021_Customer_Retention,Retargeting,Customer Retention,279,Facebook Ads,Healthcare,Business Owners,BOFU,Story,Desktop,East,CPA,1208752,Enterprise,38,2026-07-27,2026-09-03,Paused,85,77,Low,Medium,85.24,2239092,3822,316.26,1.85,567382,98,1120474,110590,13160,9.87,11.9,1208752,2239092,10.93,1078.79,1.85,85.24,16.27,69.24,472,1
22,CMP_0022_Increase_Sales,Product Launch,Increase Sales,85,Instagram Ads,Food Delivery,Freelancers,TOFU,Video,Tablet,East,Target ROAS,797982,Large,43,2026-08-01,2026-09-13,Paused,91,91,Low,High,99.54,1592293,132,6045.32,2.0,820664,60,4897190,332519,18022,6.79,5.42,797982,1592293,2.4,162.95,2.0,99.54,15.69,26.66,417,1
23,CMP_0023_App_Installs,Product Launch,App Installs,264,Google Display Ads,Travel,Freelancers,TOFU,Carousel,All Devices,East,CPA,172985,Medium,15,2026-06-17,2026-07-02,Running,88,94,Low,Medium,124.89,389025,4303,40.2,2.25,533796,62,987901,33391,3699,3.38,11.08,172985,389025,5.18,175.1,2.25,124.89,13.67,69.93,178,1
24,CMP_0024_Increase_Brand_Awareness,Brand Awareness,Increase Brand Awareness,2,Google Display Ads,Travel,Students,TOFU,Image,Tablet,East,CPC,66769,Small,48,2026-04-05,2026-05-23,Completed,55,58,High,Low,61.59,107892,2464,27.1,1.62,4334207,100,4472264,461984,7484,10.33,1.62,66769,107892,0.14,14.93,1.62,61.59,17.19,49.89,179,0
25,CMP_0025_Generate_Leads,Sales,Generate Leads,127,Instagram Ads,Finance,Freelancers,TOFU,Image,Tablet,Central,CPM,921936,Large,30,2026-06-19,2026-07-19,Running,85,88,Low,Medium,97.21,1818149,4003,230.31,1.97,1055814,86,4883031,302747,12200,6.2,4.03,921936,1818149,3.05,188.8,1.97,97.21,12.55,55.47,422,1
26,CMP_0026_Increase_Sales,App Promotion,Increase Sales,122,LinkedIn Ads,Travel,Freelancers,TOFU,Carousel,All Devices,North,CPM,145834,Medium,112,2026-07-29,2026-11-18,Paused,77,72,Medium,Medium,109.1,304938,684,213.21,2.09,3099059,94,2318107,36626,4179,1.58,11.41,145834,304938,3.98,62.91,2.09,109.1,5.93,32.54,427,1
27,CMP_0027_App_Installs,Sales,App Installs,285,Facebook Ads,Technology,Students,TOFU,Story,Desktop,West,Maximize Clicks,1399454,Enterprise,67,2026-08-07,2026-10-13,Paused,95,92,Low,High,108.9,2923459,3812,367.12,2.09,2720810,82,1339637,86808,9739,6.48,11.22,1399454,2923459,16.12,1044.65,2.09,108.9,16.49,21.82,298,1
28,CMP_0028_App_Installs,Lead Generation,App Installs,235,Email Marketing,Fashion,Working Professionals,MOFU,Reels,All Devices,South,CPM,811810,Large,57,2026-07-19,2026-09-14,Planned,90,88,Low,High,131.63,1880395,430,1887.93,2.32,2474721,98,907977,9261,1439,1.02,15.54,811810,1880395,87.66,894.09,2.32,131.63,8.6,48.92,245,1
29,CMP_0029_Generate_Leads,Retargeting,Generate Leads,287,Google Search Ads,Food Delivery,Freelancers,BOFU,Carousel,Desktop,South,CPM,477206,Medium,108,2026-06-01,2026-09-17,Running,69,61,High,Low,102.32,965483,4323,110.39,2.02,1257146,72,4148448,172990,25775,4.17,14.9,477206,965483,2.76,115.03,2.02,102.32,13.23,65.74,188,1
30,CMP_0030_Increase_Sales,Retargeting,Increase Sales,12,YouTube Ads,Travel,Students,BOFU,Carousel,Mobile,South,CPM,1126639,Enterprise,39,2026-06-22,2026-07-31,Running,96,99,Low,High,80.42,2032682,3827,294.39,1.8,4088356,76,3933904,137293,14553,3.49,10.6,1126639,2032682,8.21,286.39,1.8,80.42,7.15,22.88,168,1
31,CMP_0031_Increase_Sales,Brand Awareness,Increase Sales,115,YouTube Ads,Healthcare,Senior Citizens,TOFU,Carousel,Desktop,North,Maximize Clicks,677383,Large,28,2026-07-25,2026-08-22,Planned,85,90,Low,Medium,82.79,1238188,4939,137.15,1.83,4753362,61,2152607,173069,28089,8.04,16.23,677383,1238188,3.91,314.68,1.83,82.79,17.48,30.8,141,1
32,CMP_0032_Customer_Retention,Retargeting,Customer Retention,158,Google Display Ads,Education,Families,BOFU,Story,All Devices,Central,Target ROAS,681004,Large,53,2026-07-28,2026-09-19,Planned,81,75,Medium,Medium,89.59,1291115,4196,162.3,1.9,1005822,94,2816288,254310,22913,9.03,9.01,681004,1291115,2.68,241.81,1.9,89.59,14.33,28.34,174,0
33,CMP_0033_Increase_Sales,Lead Generation,Increase Sales,249,Affiliate Marketing,E-Commerce,Working Professionals,MOFU,Story,All Devices,East,CPA,800359,Large,100,2026-05-24,2026-09-01,Running,78,70,Medium,Medium,84.28,1474901,2376,336.85,1.84,3407140,89,2471656,24716,1715,1.0,6.94,800359,1474901,32.38,323.81,1.84,84.28,8.0,24.07,277,0
34,CMP_0034_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,164,Google Search Ads,Education,Business Owners,BOFU,Reels,Mobile,Central,Target ROAS,591632,Large,83,2026-07-04,2026-09-25,Planned,84,91,Medium,Medium,94.97,1153504,2972,199.07,1.95,4092931,81,4223081,201863,20145,4.78,9.98,591632,1153504,2.93,140.09,1.95,94.97,4.29,61.76,304,1
35,CMP_0035_Customer_Retention,App Promotion,Customer Retention,88,Instagram Ads,Fashion,Senior Citizens,TOFU,Carousel,Tablet,West,CPC,294763,Medium,76,2026-07-21,2026-10-05,Paused,76,72,Medium,Medium,71.1,504339,4670,63.12,1.71,992584,69,1249884,87241,7354,6.98,8.43,294763,504339,3.38,235.83,1.71,71.1,8.94,47.64,88,0
36,CMP_0036_Increase_Brand_Awareness,Lead Generation,Increase Brand Awareness,116,Google Display Ads,Food Delivery,Business Owners,MOFU,Video,Desktop,South,CPM,1327347,Enterprise,111,2026-08-08,2026-11-27,Planned,100,94,Low,High,80.32,2393472,1732,766.37,1.8,710894,60,820191,51261,8227,6.25,16.05,1327347,2393472,25.89,1618.34,1.8,80.32,8.5,63.36,159,1
37,CMP_0037_Customer_Retention,Sales,Customer Retention,270,Affiliate Marketing,E-Commerce,Senior Citizens,TOFU,Reels,Tablet,South,CPM,778838,Large,96,2026-01-11,2026-04-17,Completed,83,75,Medium,Medium,89.9,1479013,4677,166.53,1.9,1868089,77,4932712,479459,51685,9.72,10.78,778838,1479013,1.62,157.89,1.9,89.9,7.79,22.56,317,1
38,CMP_0038_Website_Traffic,Brand Awareness,Website Traffic,268,Instagram Ads,Healthcare,Freelancers,TOFU,Reels,Desktop,Central,CPA,1350118,Enterprise,24,2026-06-09,2026-07-03,Running,96,97,Low,High,122.13,2999017,3682,366.68,2.22,787113,78,4919218,73296,1656,1.49,2.26,1350118,2999017,18.42,274.46,2.22,122.13,11.15,55.74,486,1
39,CMP_0039_Website_Traffic,Brand Awareness,Website Traffic,260,LinkedIn Ads,Travel,Freelancers,TOFU,Reels,All Devices,East,CPM,279493,Medium,41,2026-08-21,2026-10-01,Planned,74,79,Medium,Medium,77.71,496687,4447,62.85,1.78,3820160,91,4907902,404901,15548,8.25,3.84,279493,496687,0.69,56.95,1.78,77.71,12.96,35.28,184,0
40,CMP_0040_Generate_Leads,Sales,Generate Leads,203,Instagram Ads,E-Commerce,Business Owners,TOFU,Reels,Mobile,West,CPA,73309,Small,109,2026-02-06,2026-05-26,Completed,58,53,High,Low,78.56,130900,394,186.06,1.79,1456780,88,932632,14269,1649,1.53,11.56,73309,130900,5.14,78.6,1.79,78.56,3.05,63.28,320,1
41,CMP_0041_Increase_Sales,Lead Generation,Increase Sales,198,Google Display Ads,Finance,Students,MOFU,Video,All Devices,South,CPM,930546,Large,39,2026-08-03,2026-09-11,Planned,83,84,Medium,Medium,97.38,1836711,952,977.46,1.97,1564441,64,697084,66222,2072,9.5,3.13,930546,1836711,14.05,1334.91,1.97,97.38,5.13,42.05,68,1
42,CMP_0042_Website_Traffic,App Promotion,Website Traffic,33,Affiliate Marketing,Healthcare,Freelancers,TOFU,Carousel,Mobile,North,CPC,1290455,Enterprise,30,2026-08-19,2026-09-18,Planned,95,99,Low,High,106.91,2670080,2673,482.77,2.07,4946259,80,2292119,168012,27117,7.33,16.14,1290455,2670080,7.68,563.0,2.07,106.91,17.38,42.91,107,1
43,CMP_0043_Customer_Retention,App Promotion,Customer Retention,155,Affiliate Marketing,Fashion,Families,TOFU,Carousel,Mobile,South,CPC,1255902,Enterprise,60,2026-02-15,2026-04-16,Completed,90,95,Low,High,99.77,2508915,3080,407.76,2.0,574831,61,2439395,124409,6568,5.1,5.28,1255902,2508915,10.09,514.84,2.0,99.77,9.23,20.52,120,1
44,CMP_0044_Increase_Sales,Sales,Increase Sales,88,Affiliate Marketing,Technology,Business Owners,TOFU,Story,Mobile,South,CPM,569902,Large,113,2026-06-04,2026-09-25,Running,86,93,Low,Medium,91.82,1093186,1826,312.1,1.92,1400097,87,3172225,30770,1015,0.97,3.3,569902,1093186,18.52,179.65,1.92,91.82,16.26,22.93,244,0
45,CMP_0045_App_Installs,Product Launch,App Installs,295,Affiliate Marketing,Education,Freelancers,TOFU,Video,All Devices,West,Target ROAS,1021385,Enterprise,73,2026-08-08,2026-10-20,Paused,88,91,Low,Medium,99.28,2035416,2437,419.12,1.99,4804333,92,1313996,78445,12362,5.97,15.76,1021385,2035416,13.02,777.31,1.99,99.28,5.87,34.29,304,1
46,CMP_0046_Website_Traffic,Sales,Website Traffic,120,Email Marketing,Healthcare,Families,TOFU,Video,All Devices,Central,CPA,561852,Large,102,2026-06-13,2026-09-23,Running,86,81,Low,Medium,119.25,1231860,958,586.48,2.19,816132,61,85526,1137,31,1.33,2.73,561852,1231860,494.15,6569.37,2.19,119.25,14.8,64.98,381,1
47,CMP_0047_Customer_Retention,Brand Awareness,Customer Retention,142,YouTube Ads,Travel,Senior Citizens,TOFU,Story,Desktop,North,CPA,214216,Medium,21,2026-06-21,2026-07-12,Running,70,73,Medium,Medium,86.67,399877,2920,73.36,1.87,4542124,81,796266,22693,2811,2.85,12.39,214216,399877,9.44,269.03,1.87,86.67,5.65,46.1,306,1
48,CMP_0048_Increase_Brand_Awareness,Sales,Increase Brand Awareness,125,Facebook Ads,E-Commerce,Senior Citizens,TOFU,Video,Desktop,North,CPC,81395,Small,18,2026-08-07,2026-08-25,Paused,75,73,Medium,Medium,71.53,139616,1693,48.08,1.72,3352113,67,3218692,278416,5763,8.65,2.07,81395,139616,0.29,25.29,1.72,71.53,10.5,66.44,402,0
49,CMP_0049_App_Installs,App Promotion,App Installs,86,Google Search Ads,Healthcare,Working Professionals,TOFU,Image,Tablet,Central,CPC,954245,Large,69,2026-07-30,2026-10-07,Planned,80,76,Medium,Medium,111.23,2015651,3097,308.12,2.11,4750771,100,1091566,29581,5008,2.71,16.93,954245,2015651,32.26,874.2,2.11,111.23,11.66,46.86,129,1
50,CMP_0050_Increase_Sales,Retargeting,Increase Sales,55,Google Display Ads,Travel,Freelancers,BOFU,Image,Desktop,East,Maximize Clicks,203921,Medium,81,2026-06-02,2026-08-22,Running,89,81,Low,Medium,82.03,371197,3570,57.12,1.82,2279349,62,1389508,113661,8467,8.18,7.45,203921,371197,1.79,146.76,1.82,82.03,11.99,49.23,404,0
51,CMP_0051_App_Installs,Product Launch,App Installs,181,Email Marketing,Healthcare,Students,TOFU,Image,Desktop,East,CPM,283785,Medium,57,2026-07-20,2026-09-15,Planned,79,81,Medium,Medium,68.61,478489,1724,164.61,1.69,2867112,93,4452103,305859,44838,6.87,14.66,283785,478489,0.93,63.74,1.69,68.61,4.6,20.41,333,1
52,CMP_0052_Increase_Sales,Lead Generation,Increase Sales,264,LinkedIn Ads,Education,Working Professionals,MOFU,Story,All Devices,South,Target ROAS,503421,Large,112,2026-08-09,2026-11-29,Paused,93,87,Low,High,115.02,1082455,2078,242.26,2.15,4228719,100,2343858,33282,5375,1.42,16.15,503421,1082455,15.13,214.78,2.15,115.02,8.17,25.12,223,1
53,CMP_0053_Customer_Retention,App Promotion,Customer Retention,80,Instagram Ads,Finance,Business Owners,TOFU,Image,Mobile,South,CPC,1258498,Enterprise,62,2026-06-13,2026-08-14,Running,88,87,Low,Medium,111.9,2666757,3792,331.88,2.12,1590065,85,3415860,257555,20913,7.54,8.12,1258498,2666757,4.89,368.43,2.12,111.9,12.44,44.32,385,1
54,CMP_0054_App_Installs,Product Launch,App Installs,275,LinkedIn Ads,Finance,Working Professionals,TOFU,Story,All Devices,South,Target ROAS,1061601,Enterprise,18,2026-06-19,2026-07-07,Running,95,99,Low,High,89.62,2013007,2341,453.48,1.9,3167207,77,3442382,281931,38934,8.19,13.81,1061601,2013007,3.77,308.39,1.9,89.62,14.16,60.36,468,1
55,CMP_0055_Customer_Retention,Product Launch,Customer Retention,202,LinkedIn Ads,Education,Families,TOFU,Image,Desktop,North,Target ROAS,1308375,Enterprise,27,2026-07-10,2026-08-06,Paused,87,83,Low,Medium,74.2,2279189,1984,659.46,1.74,1549813,75,4489763,367262,65850,8.18,17.93,1308375,2279189,3.56,291.41,1.74,74.2,4.71,22.5,395,1
56,CMP_0056_Generate_Leads,Sales,Generate Leads,168,Google Display Ads,Healthcare,Working Professionals,TOFU,Reels,Mobile,Central,CPC,1218532,Enterprise,79,2026-02-07,2026-04-27,Completed,100,99,Low,High,123.79,2726952,4384,277.95,2.24,125504,71,4888356,161804,20516,3.31,12.68,1218532,2726952,7.53,249.27,2.24,123.79,14.12,32.64,131,1
57,CMP_0057_Website_Traffic,Sales,Website Traffic,27,YouTube Ads,Technology,Families,TOFU,Reels,Mobile,Central,Target ROAS,464373,Medium,111,2026-08-19,2026-12-08,Planned,77,74,Medium,Medium,87.72,871720,3164,146.77,1.88,4077689,96,1462852,146577,21590,10.02,14.73,464373,871720,3.17,317.44,1.88,87.72,6.41,61.31,419,1
58,CMP_0058_App_Installs,App Promotion,App Installs,168,Email Marketing,Education,Working Professionals,TOFU,Story,Desktop,West,CPM,337937,Medium,79,2026-07-18,2026-10-05,Planned,75,76,Medium,Medium,96.42,663775,3754,90.02,1.96,3085731,81,4736622,373719,10501,7.89,2.81,337937,663775,0.9,71.35,1.96,96.42,11.52,60.9,119,1
59,CMP_0059_Website_Traffic,Brand Awareness,Website Traffic,277,Instagram Ads,Travel,Students,TOFU,Reels,Mobile,South,Target ROAS,1360747,Enterprise,22,2026-07-27,2026-08-18,Planned,91,87,Low,High,101.88,2747076,2274,598.39,2.02,1965549,69,1741771,62007,9009,3.56,14.53,1360747,2747076,21.95,781.24,2.02,101.88,7.18,46.47,200,1
60,CMP_0060_App_Installs,Lead Generation,App Installs,57,LinkedIn Ads,Travel,Freelancers,MOFU,Video,Desktop,North,Target ROAS,1327089,Enterprise,73,2026-02-21,2026-05-05,Completed,93,90,Low,High,135.09,3119853,4764,278.57,2.35,4970455,85,1437503,143894,13223,10.01,9.19,1327089,3119853,9.22,923.19,2.35,135.09,7.03,25.14,250,1
61,CMP_0061_App_Installs,Sales,App Installs,114,Instagram Ads,E-Commerce,Students,TOFU,Carousel,Tablet,South,CPM,329582,Medium,20,2026-08-22,2026-09-11,Planned,72,75,Medium,Medium,71.41,564936,2917,112.99,1.71,2795187,96,4358320,173896,7199,3.99,4.14,329582,564936,1.9,75.62,1.71,71.41,15.14,54.43,69,0
62,CMP_0062_Website_Traffic,Brand Awareness,Website Traffic,10,YouTube Ads,Healthcare,Business Owners,TOFU,Carousel,Mobile,North,Target ROAS,943261,Large,94,2026-08-11,2026-11-13,Paused,80,76,Medium,Medium,88.4,1777103,2284,412.99,1.88,518690,74,1069347,49724,4415,4.65,8.88,943261,1777103,18.97,882.09,1.88,88.4,15.89,44.92,420,0
63,CMP_0063_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,227,LinkedIn Ads,Technology,Senior Citizens,BOFU,Carousel,Tablet,East,Maximize Clicks,184156,Medium,117,2026-07-26,2026-11-20,Planned,87,89,Low,Medium,94.67,358496,1446,127.36,1.95,1410526,72,1363781,105420,12639,7.73,11.99,184156,358496,1.75,135.03,1.95,94.67,3.0,63.27,466,1
64,CMP_0064_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,47,LinkedIn Ads,Food Delivery,Freelancers,TOFU,Carousel,All Devices,North,CPA,937824,Large,100,2026-02-15,2026-05-26,Completed,77,83,Medium,Medium,109.63,1965960,3916,239.49,2.1,4139626,78,1808694,63123,6792,3.49,10.76,937824,1965960,14.86,518.51,2.1,109.63,16.66,65.77,226,1
65,CMP_0065_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,293,Google Display Ads,Food Delivery,Freelancers,TOFU,Video,All Devices,North,CPC,1401275,Enterprise,22,2026-08-20,2026-09-11,Paused,98,98,Low,High,123.95,3138155,4083,343.2,2.24,563209,67,3201411,275001,8057,8.59,2.93,1401275,3138155,5.1,437.71,2.24,123.95,8.84,49.7,219,1
66,CMP_0066_Increase_Sales,App Promotion,Increase Sales,234,Email Marketing,Education,Families,TOFU,Story,Mobile,North,Maximize Clicks,1065746,Enterprise,54,2026-03-10,2026-05-03,Completed,97,99,Low,High,143.39,2593919,2288,465.8,2.43,4367707,62,3400143,145526,18903,4.28,12.99,1065746,2593919,7.32,313.44,2.43,143.39,10.75,62.89,398,1
67,CMP_0067_Increase_Sales,Retargeting,Increase Sales,263,LinkedIn Ads,Healthcare,Working Professionals,BOFU,Story,Desktop,Central,Target ROAS,696431,Large,76,2026-04-30,2026-07-15,Running,80,80,Medium,Medium,119.69,1529989,362,1923.84,2.2,607108,66,3764590,31999,4371,0.85,13.66,696431,1529989,21.76,185.0,2.2,119.69,11.7,54.74,310,1
68,CMP_0068_App_Installs,Retargeting,App Installs,162,LinkedIn Ads,Travel,Business Owners,BOFU,Story,Mobile,South,Target ROAS,72810,Small,106,2026-06-19,2026-10-03,Running,47,51,High,Low,57.23,114479,2777,26.22,1.57,1785856,61,2644378,84355,13395,3.19,15.88,72810,114479,0.86,27.53,1.57,57.23,6.11,67.04,496,1
69,CMP_0069_Generate_Leads,Lead Generation,Generate Leads,7,Affiliate Marketing,Finance,Senior Citizens,MOFU,Reels,All Devices,Central,CPC,570453,Large,15,2026-05-02,2026-05-17,Completed,91,88,Low,High,81.36,1034573,526,1084.51,1.81,1881683,71,4665292,369024,28008,7.91,7.59,570453,1034573,1.55,122.28,1.81,81.36,12.19,22.08,221,0
70,CMP_0070_Increase_Brand_Awareness,Lead Generation,Increase Brand Awareness,109,Instagram Ads,Technology,Families,MOFU,Video,All Devices,East,CPC,303868,Medium,107,2026-08-06,2026-11-21,Paused,78,78,Medium,Medium,99.83,607219,3643,83.41,2.0,4218453,83,4468692,517027,26161,11.57,5.06,303868,607219,0.59,68.0,2.0,99.83,4.3,56.24,428,1
